miete;mieteqm;flaeche;bjahr;bad;kueche;bezv;lage;zh
941.9;1.495.079;63;1929;0;0;210;1;0
2242.8;1.437.692;156;1918;0;0;210;2;0
1036.2;9.419.999;110;1918;0;0;232;2;1
1294.9;2.023.281;64;1918;0;0;911;3;1
609.6;8.127.999;75;1960;0;0;924;3;1
736.3;1.363.519;54;1934;0;0;922;2;1
1017;1.452.857;70;1970;0;1;1022;1;1
920.1;1.295.915;71;1970;0;0;2314;1;1
674.5;2.043.939;33;1967;0;0;964;3;1
223.2;6.377.143;35;1939;0;0;2314;1;0
636.4;2.357.037;27;1972;0;0;922;2;1
761.5;1.586.458;48;1972;0;0;911;3;1
1058.3;1.959.815;54;1986;0;0;964;2;1
657.1;2.190.333;30;1972;0;0;2121;1;1
947.8;1.102.093;86;1965;0;0;963;1;1
844.9;1.408.167;60;1957.5;0;0;961;2;1
1391.4;159.931;87;1981;0;0;1361;1;1
1047.8;1.343.333;78;1991;0;0;1346;1;1
774;9.923.077;78;1969;0;0;1342;1;1
1031.1;1.074.062;96;1967;0;0;1341;1;1
933.7;131.507;71;1965;0;0;1544;2;1
920;1.559.322;59;1986;1;0;1322;1;1
666.5;8.128.049;82;1982;0;0;1313;1;1
727.4;836.092;87;1972;0;0;1345;1;1
789.2;1.011.795;78;1929;0;0;1011;1;1
1033.9;1.378.533;75;1967;1;1;2441;1;1
650.9;9.298.572;70;1965;0;0;2441;1;1
720.2;1.263.509;57;1972;0;0;2421;1;1
1373;1.830.667;75;1984;0;0;2425;1;1
431;6.734.375;64;1957.5;0;0;2422;1;1
1375.5;2.371.552;58;1994.5;0;0;2146;2;1
748.8;1.313.684;57;1918;0;0;2135;2;1
1576.2;1.281.463;123;1918;0;0;563;2;1
832.7;1.387.833;60;1956;0;0;552;1;1
1754.4;1.927.912;91;1958;0;0;563;1;1
901.4;1.700.755;53;1956;0;0;1711;1;1
1264.4;1.436.818;88;1960;0;0;1822;1;1
466.6;8.332.143;56;1929;0;0;1713;1;1
799.7;9.520.238;84;1956;0;0;1373;2;1
1173;15.64;75;1994.5;1;0;1402;1;1
755.2;9.807.793;77;1964;0;0;1406;1;1
666.8;865.974;77;1961;0;0;521;1;1
922.7;1.708.704;54;1990;0;0;1014;1;1
617.5;8.697.183;71;1965;0;0;2441;1;1
932;1.096.471;85;1957.5;0;0;1016;1;1
1181.9;2.037.759;58;1994;0;0;1532;2;1
1101.8;1.311.667;84;1973;0;0;1642;1;1
568.2;8.480.597;67;1972;0;0;1402;1;1
1123.1;1.169.896;96;1924;0;0;1013;1;1
709.5;1.313.889;54;1979;0;1;1015;1;1
590.7;1.406.429;42;1971;0;0;1012;1;1
909;12.625;72;1983;1;0;1013;1;1
849.1;1.391.967;61;1983;0;0;1013;1;1
413.9;8.997.826;46;1965;0;0;1957;1;1
818.3;2.273.055;36;1985;0;0;1955;3;1
1104.5;1.810.656;61;1983;0;0;1957;1;1
732.4;1.592.174;46;1991;0;0;1934;1;1
539.6;1.927.143;28;1965;0;0;1934;1;1
2019.1;1.922.952;105;1991;1;0;1927;2;1
1618.8;2.312.572;70;1987;0;0;1952;3;1
661.9;1.350.816;49;1957.5;0;0;2026;2;1
1460;1.659.091;88;1983;1;0;2024;1;1
827.1;1.021.111;81;1962;0;0;734;1;1
1172.5;1.347.701;87;1972;0;0;2024;1;1
889.6;1.617.455;55;1969;0;0;2027;1;1
987.8;1.519.692;65;1939;0;0;2032;2;0
981.9;1.197.439;82;1941;0;0;734;1;1
474.6;98.875;48;1929;0;0;163;1;1
483.1;1.238.718;39;1957.5;0;0;153;2;1
899.2;1.021.818;88;1957.5;0;0;162;2;1
659.4;1.156.842;57;1964;0;0;522;2;1
808.4;1.188.824;68;1918;0;0;532;2;1
687.5;1.165.254;59;1958;0;0;1532;2;1
970.4;1.311.351;74;1964;0;0;2011;1;1
816.3;1.166.143;70;1939;0;0;2522;1;1
701.6;1.492.766;47;1964;0;0;2011;1;1
555;11. Jan;50;1990;0;0;2526;2;1
527.1;775.147;68;1955;0;0;2523;1;1
661.2;07. Jun;87;1969;0;0;2526;1;1
840.3;1.867.333;45;1973;0;0;2135;2;1
571;1.119.608;51;1971;0;0;2134;1;1
1259.9;1.574.875;80;1969;0;1;2525;2;1
1138.8;1.478.961;77;1936;0;0;2524;1;1
756.4;1.200.635;63;1951;0;0;2512;1;1
466;6.657.143;70;1965;0;0;2314;1;1
932.2;1.294.722;72;1972;0;0;2314;1;1
1215.7;1.736.714;70;1971;0;0;2411;1;1
616.9;1.121.636;55;1971;0;0;1025;1;1
1301.3;1.586.951;82;1996;0;1;2314;1;1
780.3;1.054.459;74;1972;0;0;2314;1;1
976.9;1.176.988;83;1972;0;0;2313;1;1
820.1;7.664.486;107;1972;0;0;1957;2;1
1043.5;1.897.273;55;1959;0;0;1927;1;1
778.6;1.197.846;65;1957;0;0;1912;1;1
753.5;1.159.231;65;1974;0;0;1013;1;1
1000.9;2.224.222;45;1991;0;0;1013;1;1
1548.8;1.985.641;78;1986;0;0;1013;1;1
621.1;2.141.724;29;1974;0;0;1013;1;1
542.7;1.750.645;31;1963;0;0;1013;1;1
750.6;8.935.714;84;1962;0;0;2131;2;1
1216.6;1.483.659;82;1995;0;0;2113;2;1
799.1;1.664.792;48;1983;0;0;2113;1;1
995.3;1.877.925;53;1993;0;1;2148;1;1
1014.8;1.537.576;66;1971;0;0;2113;2;1
1172.3;1.890.807;62;1984;0;0;2149;1;1
1175.6;1.728.823;68;1971;1;0;2324;1;1
1164.6;1.848.571;63;1929;0;0;2134;2;1
879.8;1.543.509;57;1995;0;0;2113;2;1
1764.2;17.642;100;1994;0;0;2234;1;1
1698.5;1.998.235;85;1995;1;0;2234;1;1
1034.2;1.951.321;53;1971;0;0;2325;1;1
1435.5;14.355;100;1972;0;0;811;1;1
1635;1.816.667;90;1991;0;1;2226;1;1
997.4;1.749.825;57;1970;0;0;2011;1;1
713.6;1.150.968;62;1962;0;0;2513;1;1
970.1;9.898.979;98;1918;0;0;2135;1;1
1049.7;1.943.889;54;1988;0;0;2515;2;1
747;1.310.526;57;1996;0;0;2523;1;1
676.2;9.391.666;72;1951;0;0;2522;2;1
611;13;47;1957.5;0;0;2524;1;1
1345.3;1.770.132;76;1964;0;0;2526;2;1
814.8;7.544.445;108;1956;0;0;2524;2;1
1093;1.285.882;85;1957.5;0;0;371;2;1
658.6;1.266.538;52;1957.5;0;0;372;2;1
1098.8;1.390.886;79;1918;0;0;220;2;0
1024.2;1.296.456;79;1957.5;0;0;360;2;1
405.8;1.352.667;30;1956;0;0;360;2;1
1008.2;1.680.333;60;1990;0;1;2314;1;1
827.9;16.558;50;1979;0;0;2412;1;1
1782.4;2.742.154;65;1984;0;0;162;2;1
1041.7;1.446.805;72;1958;0;0;153;2;1
956.8;1.449.697;66;1957.5;0;0;113;2;0
810.7;8.717.204;93;1955;1;0;1112;1;1
1160.2;1.657.429;70;1964;0;0;1132;1;1
747.3;1.132.273;66;1957.5;0;0;1132;1;1
821.3;8.131.683;101;1959;0;0;1371;1;1
1967.6;1.405.429;140;1957.5;0;0;1331;3;1
1136.1;15.148;75;1968;0;0;1333;2;1
1384.8;1.752.911;79;1962;0;0;1371;1;1
1546.6;1.472.952;105;1980;1;0;1313;1;1
1652.7;1.412.564;117;1980;1;0;1313;1;1
747.3;1.383.889;54;1995;0;0;2113;2;1
752.2;9.173.171;82;1929;0;0;411;2;1
641;1.165.455;55;1918;0;0;1243;2;0
762.5;1.073.944;71;1957.5;0;0;1243;2;0
1373;140.102;98;1957.5;0;0;1243;2;1
1206.1;1.675.139;72;1918;0;0;113;2;1
673.4;1.086.129;62;1929;0;0;1243;2;1
499.2;1.721.379;29;1971;0;0;415;2;1
1074.3;1.761.148;61;1969;0;0;724;1;1
425.2;4.523.405;94;1929;0;1;2513;1;1
1272.5;1.719.595;74;1948;0;1;925;3;1
541.5;1.388.461;39;1968;0;0;1942;1;1
940.8;1.493.333;63;1968;0;0;2515;1;1
258.6;5.621.739;46;1954;0;0;2522;1;0
1222.6;1.389.318;88;1971;0;0;925;2;1
926.1;2.104.773;44;1957.5;0;0;916;1;1
598.5;8.801.471;68;1929;0;0;926;2;1
938.1;1.130.241;83;1957.5;0;0;411;2;1
599.9;7.893.421;76;1918;0;0;426;2;0
2241.6;1.601.143;140;1929;1;0;1243;2;1
995.3;9.953;100;1935;0;0;1243;2;1
479.5;1.598.333;30;1959;0;0;425;2;1
936.9;9.369;100;1968;0;0;1641;1;1
496;1.102.222;45;1936;0;0;1612;1;1
762;1.043.836;73;1955;0;0;1401;1;1
487;954.902;51;1954;0;0;1612;1;1
706;8.936.708;79;1969;0;0;1622;1;1
955.5;1.426.119;67;1973;1;0;1531;2;1
150.3;3.853.846;39;1949;0;0;1613;1;0
649.7;1.160.179;56;1969;0;0;1408;2;1
745.4;1.285.172;58;1939;0;0;1612;1;1
813.2;1.807.111;45;1996;0;0;1542;2;1
990.5;1.904.808;52;1918;1;0;1812;1;1
579.6;1.413.659;41;1994;0;0;1831;1;1
1060.3;100.981;105;1973;0;0;1713;1;1
931.3;1.275.753;73;1960;0;0;1822;1;1
1251.9;1.714.931;73;1960;0;0;1822;1;1
898;8.163.636;110;1954;1;0;1722;1;1
1005;9.136.364;110;1960;0;0;1615;1;1
1151.7;1.799.531;64;1961;0;0;1631;1;1
816.1;1.360.167;60;1963;0;0;1615;1;1
582.2;1.940.667;30;1972;0;0;1615;1;1
289.6;4.826.667;60;1952;0;0;1714;1;1
1061.1;1.050.594;101;1957;0;0;1721;1;1
848.5;1.060.625;80;1929;0;0;1714;1;1
943.3;8.575.455;110;1963;1;0;1722;1;1
771.4;15.428;50;1973;0;0;1615;1;1
837.6;1.021.463;82;1954;0;0;1722;1;1
516;12. Sep;40;1970;0;0;1013;1;1
795.7;1.060.933;75;1994.5;1;0;2412;1;1
352.4;4.050.575;87;1966;0;0;2441;1;1
735.1;1.336.545;55;1971;0;0;1012;1;1
1019;1.455.714;70;1972;0;0;2421;1;1
1252.1;1.565.125;80;1984;0;0;1615;2;1
671.1;9.452.112;71;1957.5;0;0;1402;1;1
920;1.333.333;69;1971;0;0;1642;1;1
1033.9;1.230.833;84;1968;0;0;1641;1;1
1235.7;1.625.921;76;1956;0;0;1542;1;1
935;1.016.304;92;1955;1;0;1112;1;1
962.2;1.436.119;67;1960;0;0;2421;1;1
454.9;568.625;80;1958;0;0;2425;1;1
281.9;5.638;50;1957;0;0;1334;2;1
1221.8;1.745.429;70;1939;0;0;734;2;1
1210.3;18.62;65;1972;0;0;2025;1;1
718.5;11.975;60;1972;0;0;1944;1;1
903.9;1.349.104;67;1965;0;0;1944;1;1
1156.9;1.676.667;69;1929;0;0;926;2;1
691.3;2.468.929;28;1959;0;0;926;2;1
824.7;9.589.535;86;1970;0;0;2121;1;1
738.3;1.171.905;63;1962;0;0;1832;1;1
1069.6;1.725.161;62;1994.5;1;0;2131;2;1
1545.3;1.756.023;88;1982;1;0;2135;1;1
1017.8;1.130.889;90;1994.5;0;0;2143;2;1
1468.9;2.259.846;65;1956;0;0;2323;1;1
1162.9;1.550.533;75;1972;0;0;1321;1;1
799.4;1.051.842;76;1967;0;0;1342;1;1
1220.8;1.849.697;66;1937;0;0;1243;2;1
1183.6;241.551;49;1971;0;0;1262;2;1
967.1;1.208.875;80;1918;0;0;1250;3;0
725.4;8.846.342;82;1964;0;0;1342;1;1
599.1;1.015.424;59;1940;0;0;2525;1;1
678.9;Okt 95;62;1954;0;0;2522;2;1
484.3;8.496.491;57;1936;0;0;2524;1;1
551.1;1.900.345;29;1983;0;0;2523;1;1
777.9;1.620.625;48;1967;0;0;2522;1;1
885;17. Jul;50;1972;0;0;2524;1;1
657;07. Mrz;90;1950;0;0;2512;1;0
465.7;2.024.783;23;1972;0;0;1261;2;1
689.8;2.299.333;30;1973;0;0;551;1;1
723.9;9.525.001;76;1918;0;0;1713;1;1
712;2.738.461;26;1957.5;0;0;611;1;1
493;Sep 86;50;1918;0;0;611;1;1
924.1;1.087.176;85;1973;0;0;711;2;1
490.6;1.291.053;38;1955;0;0;711;1;0
765.5;8.798.851;87;1936;0;0;712;2;1
1737.4;20.44;85;1939;0;1;2024;1;1
393;1.228.125;32;1973;0;0;611;1;1
861.3;1.794.375;48;1962;0;0;711;1;1
557.1;1.428.461;39;1958;0;0;1912;1;1
1054;13.175;80;1965;0;0;2025;2;1
695.4;1.655.714;42;1957.5;0;0;1262;2;1
569.9;Jun 95;82;1918;0;0;1713;1;0
579.1;1.654.571;35;1960;0;0;1822;1;1
1389.3;1.715.185;81;1955;0;0;1373;3;1
1625;2.006.173;81;1918;0;0;232;2;1
535.4;1.010.189;53;1961;0;0;532;2;1
1366.6;1.607.765;85;1918;0;0;231;2;1
1220.9;1.585.584;77;1957.5;0;0;231;2;1
788.7;5.756.934;137;1939;1;0;522;1;1
1053.8;1.881.786;56;1918;0;0;231;2;1
854.4;Okt 68;80;1918;0;0;220;2;0
857.8;1.949.545;44;1957.5;0;0;1407;2;1
337.6;5.193.846;65;1956;0;0;1242;2;1
870.3;7.911.818;110;1924;0;0;1236;1;0
1431.1;1.192.583;120;1918;0;0;1242;2;1
641.2;200.375;32;1983;0;0;2522;1;1
886;1.845.833;48;1983;0;0;2114;1;1
1196.3;1.616.622;74;1939;0;0;942;2;0
1114.7;1.506.351;74;1973;0;0;2513;1;1
1432.3;14.323;100;1981;1;0;2142;2;1
762.6;1.250.164;61;1918;0;0;422;1;0
988.2;107.413;92;1939;0;0;1122;1;1
793.7;1.322.833;60;1964;0;0;1121;1;1
554.4;1.458.947;38;1959;0;0;941;2;1
1166;1.227.368;95;1957.5;0;0;951;1;1
574.3;1.063.519;54;1918;0;0;962;1;0
494.1;1.497.273;33;1957.5;0;0;942;2;1
695.8;8.485.366;82;1969;0;0;951;2;1
958.9;1.743.455;55;1984;0;0;2512;1;1
724.7;181.175;40;1958;0;0;941;2;1
650.3;6.992.473;93;1929;0;0;2513;1;0
1208.1;1.589.605;76;1918;0;0;962;1;1
818.5;1.299.206;63;1950;0;0;2512;1;1
1158.2;1.362.588;85;1997;0;0;1321;1;1
737.2;1.316.429;56;1963;0;0;1342;1;1
662;1.141.379;58;1972;0;0;1362;1;1
694.7;2.170.938;32;1972;0;0;1321;1;1
745.4;2.484.667;30;1968;0;0;927;3;1
417.9;14.925;28;1970;0;0;925;3;1
1079.7;1.713.809;63;1991;0;0;2221;1;1
1277.1;21.285;60;1918;0;0;913;2;1
736.2;8.764.286;84;1935;0;0;925;3;0
906.1;13.94;65;1957.5;0;0;2221;1;1
980.8;9.340.952;105;1929;0;0;925;3;1
977.2;1.269.091;77;1939;0;0;927;1;1
1298.3;1.527.412;85;1996;0;1;2324;1;1
750.6;1.072.286;70;1929;0;0;915;1;1
434.7;9.248.937;47;1929;0;0;916;1;1
1000.7;1.250.875;80;1972;0;0;914;2;1
1155.2;150.026;77;1962;0;0;1714;1;1
1077.3;9.705.406;111;1954;1;0;1722;1;1
740.6;1.276.896;58;1962;0;0;1714;1;1
905.7;1.104.512;82;1954;0;0;1722;1;1
945.7;1.295.479;73;1973;0;0;1643;1;1
1002.3;1.431.857;70;1973;0;0;1643;1;1
971.5;9.913.265;98;1959;0;0;1714;1;1
591.6;9.101.538;65;1961;0;0;1631;1;1
1661.1;15.82;105;1975;0;0;1644;1;1
947.5;1.503.968;63;1982;0;0;1646;1;1
994.5;1.308.553;76;1955;0;0;1842;2;1
556.8;7.048.101;79;1939;0;0;816;1;1
672;6.165.138;109;1924;0;0;816;1;0
1149.1;1.795.469;64;1918;0;0;822;1;1
1551.4;1.988.974;78;1972;0;1;532;2;1
907.1;8.246.364;110;1957.5;0;0;911;3;0
751.2;1.231.475;61;1969;0;0;1013;1;1
990.4;1.414.857;70;1991;1;0;1013;1;1
585.3;731.625;80;1918;0;0;1014;1;0
757.1;1.577.292;48;1972;0;0;1013;1;1
730.9;8.806.025;83;1929;1;0;1025;1;0
831.7;1.732.708;48;1972;0;0;1013;1;1
978.8;1.418.551;69;1957.5;0;0;1025;1;1
981.3;245.325;40;1964;0;0;1362;1;1
1085.8;2.010.741;54;1984;0;0;1361;1;1
1607.7;1.502.523;107;1969;0;0;1312;2;1
1079.4;8.566.667;126;1957;0;0;1112;1;1
1075.5;1.955.455;55;1957.5;0;0;273;2;1
1706.7;1.333.359;128;1929;1;0;273;1;1
694.7;7.805.618;89;1980;1;0;943;2;1
794.5;7.222.727;110;1918;0;0;813;2;1
546.6;1.952.143;28;1969;0;0;563;2;1
464.7;1.327.714;35;1918;0;0;1711;1;1
1169.9;2.166.482;54;1918;0;0;284;2;1
459.6;8.671.699;53;1957.5;0;0;282;1;1
504.9;5.314.737;95;1918;0;0;816;1;1
1289.5;1.048.374;123;1929;0;0;816;1;1
990.2;1.768.214;56;1939;0;0;621;1;1
1905.5;2.071.196;92;1994.5;1;0;1541;2;1
2603.2;1.972.121;132;1995;0;0;1543;2;1
1119.4;19. Mrz;58;1957.5;0;0;1544;2;1
1812.2;1.907.579;95;1976;0;0;1952;3;1
2279.5;22.795;100;1967;1;0;1952;3;1
1428;17.85;80;1970;0;0;1931;2;1
566;2.021.428;28;1992;0;0;1934;2;1
846.3;1.057.875;80;1973;0;0;2024;1;1
1346.2;2.071.077;65;1965;0;0;1944;1;1
1038.6;2.257.826;46;1991;0;0;282;2;1
984.8;1.246.582;79;1991;0;0;1213;1;1
829.8;1.481.786;56;1988;0;0;1133;1;1
1023.1;1.364.133;75;1972;0;0;1013;1;1
581.5;1.186.735;49;1957.5;0;0;360;2;1
800.5;1.067.333;75;1957.5;0;0;360;2;1
816.3;1.103.108;74;1929;0;1;153;2;1
667;2.151.613;31;1929;0;0;360;2;1
320.1;7.113.334;45;1918;0;0;816;1;1
713.6;9.514.667;75;1959;0;0;360;2;1
749.8;1.249.667;60;1957.5;0;0;360;2;1
518.4;1.057.959;49;1959;0;0;372;2;1
895.9;8.870.297;101;1918;0;0;360;2;0
960.1;1.200.125;80;1929;0;0;421;2;1
590.7;1.687.714;35;1929;0;0;372;2;1
725.4;5.256.522;138;1918;0;0;133;2;1
1317.5;1.568.452;84;1918;0;0;360;2;1
329.5;1.098.333;30;1970;0;0;2513;1;1
910;1.568.966;58;1970;0;0;2526;2;1
537.4;6.322.353;85;1964;0;0;2524;2;1
881.4;17.628;50;1957.5;0;0;2012;2;1
348.7;6.226.786;56;1956;0;0;2522;1;0
735.1;1.185.645;62;1962;0;0;2523;2;1
693.6;1.333.846;52;1969;0;0;2522;1;1
659.1;1.029.844;64;1963;0;0;2526;2;1
385.6;1.752.727;22;1958;0;0;2514;1;1
973;1.131.395;86;1962;0;0;2513;1;1
469.1;9.021.154;52;1960;0;0;2526;2;0
1027.6;2.014.902;51;1971;0;0;1615;1;1
328.1;5.468.333;60;1939;0;0;1714;1;1
718.7;1.330.926;54;1959;0;0;1714;1;1
673.5;1.432.979;47;1971;0;0;1713;1;1
364.1;7.585.417;48;1918;0;0;1711;1;0
1558.2;18.55;84;1970;0;0;1713;1;1
729;14.58;50;1957.5;0;0;563;2;1
255.1;5.206.122;49;1953;0;0;1712;1;1
795.5;1.446.364;55;1957.5;0;0;1713;1;1
870.9;1.501.552;58;1971;0;0;1851;2;1
1047.4;1.636.563;64;1972;0;0;1957;1;1
1113.7;15.91;70;1940;0;0;732;2;1
693.7;1.101.111;63;1961;0;0;1926;1;1
1361.8;1.602.118;85;1970;0;0;1935;2;1
592.8;1.317.333;45;1972;0;0;1957;2;1
426.5;Aug 53;50;1965;0;0;1933;2;1
1224.9;20.415;60;1992;0;1;622;1;1
500.5;7.820.313;64;1929;0;0;1912;1;1
809.1;1.093.378;74;1957.5;0;0;623;1;1
434;1.446.667;30;1956;0;0;624;1;1
1028.1;1.352.763;76;1971;0;0;724;1;1
774.9;15.498;50;1929;0;0;623;1;1
995;1.554.688;64;1972;0;0;723;1;1
377;6.854.546;55;1939;0;0;532;2;1
471.6;596.962;79;1918;0;0;522;2;0
1725.4;1.259.416;137;1918;1;0;163;1;1
1278.1;8.814.483;145;1929;1;0;163;2;1
988.9;1.765.893;56;1957.5;0;0;522;1;0
909.1;8.912.745;102;1918;0;0;153;2;0
625.5;1.839.706;34;1971;0;0;163;1;1
510.2;1.700.667;30;1918;0;0;611;1;1
843.4;1.317.813;64;1972;0;0;1944;1;1
716.9;1.215.085;59;1973;0;0;711;2;1
1254.5;1.629.221;77;1957;0;0;2026;2;1
933.4;1.697.091;55;1957.5;0;0;611;1;1
839.7;1.908.409;44;1984;0;0;1943;2;1
397.1;8.104.082;49;1918;0;0;541;2;0
1053.6;21.95;48;1955;0;0;1363;1;1
802.2;14.325;56;1969;0;0;1642;1;1
2676.4;172.671;155;1918;0;0;163;2;1
809.3;6.858.474;118;1918;0;0;163;1;0
706.8;9.954.929;71;1956;0;0;152;2;1
1922.5;1.201.563;160;1918;0;0;383;2;1
681.6;1.893.333;36;1959;0;0;350;2;1
829.9;8.923.656;93;1918;0;0;623;1;0
1139.4;1.808.571;63;1991;0;0;714;1;1
1124.8;126.382;89;1960;0;0;411;2;1
535.7;7.995.522;67;1918;0;0;426;2;0
1386.9;2.350.678;59;1924;0;0;411;2;1
1300;2.063.492;63;1957.5;0;0;426;2;1
1217.3;1.580.909;77;1972;1;1;2314;1;1
1469.7;1.670.114;88;1964;0;0;962;1;1
367.6;5.251.429;70;1957.5;0;0;914;1;1
663.2;1.163.509;57;1939;0;0;963;1;1
1693.3;3.455.714;49;1988;0;0;964;2;1
600;1.818.182;33;1939;0;0;963;1;1
926.6;1.052.954;88;1983;0;0;1642;1;1
1215.1;1.557.821;78;1955;0;1;1363;1;1
1019.9;1.341.974;76;1977;0;0;1363;1;1
1153.2;1.130.588;102;1970;0;0;1375;1;1
788.3;106.527;74;1970;0;0;1402;1;1
857.5;1.339.844;64;1958;0;0;2132;1;1
1194.9;2.172.545;55;1983;0;0;2221;1;1
813.2;1.113.973;73;1969;0;0;2221;1;1
1257.3;1.934.308;65;1967;0;0;2514;1;1
1510.3;1.541.123;98;1966;0;0;2221;1;1
814.5;1.480.909;55;1955;0;1;1123;1;1
914.7;8.315.454;110;1955;1;0;1111;1;1
2458;2.363.461;104;1918;0;0;242;1;1
725.2;8.953.087;81;1939;0;0;233;2;1
793.8;1.017.692;78;1936;0;0;233;2;1
694.7;1.984.857;35;1958;0;0;350;2;1
337.3;7.495.555;45;1939;0;0;415;2;1
946.4;1.720.727;55;1972;0;0;425;2;1
1237.2;16.496;75;1973;0;0;1544;2;1
1033.2;24. Jun;42;1983;0;0;1512;1;1
1286.9;1.715.867;75;1955;0;0;2123;2;1
611;8.985.294;68;1965;0;0;422;1;1
416;1.890.909;22;1970;0;0;2513;1;1
297.3;5.038.983;59;1952;0;0;2522;1;0
1268.8;2.225.965;57;1972;0;0;2526;2;1
834.7;120.971;69;1963;0;0;2526;2;1
736.6;1.116.061;66;1963;0;0;563;2;1
814;8.568.421;95;1929;0;0;1711;1;1
1777.5;1.645.833;108;1989;0;0;563;1;1
564.9;9.415;60;1950;0;0;552;1;0
601.9;1.941.613;31;1929;0;0;1812;1;1
1719.9;13.23;130;1918;0;0;552;1;1
940.7;1.679.821;56;1957.5;0;0;563;2;1
769.2;1.748.182;44;1973;1;0;2322;1;1
533.2;9.193.104;58;1930;1;0;916;1;1
496.2;1.181.429;42;1974;0;0;914;2;1
475.6;6.097.436;78;1918;0;0;961;2;0
360.4;7.208;50;1929;0;0;914;2;0
1308.2;1.767.838;74;1959;0;1;411;2;1
1339.3;1.287.788;104;1957;0;0;414;2;1
1200.9;2.070.517;58;1959;0;0;1261;2;1
936.1;1.040.111;90;1957.5;0;1;414;2;1
1783.5;1.857.813;96;1929;0;0;414;2;1
1137.2;1.805.079;63;1939;0;0;411;2;1
628.7;1.083.965;58;1956;0;0;411;2;1
989.4;14.55;68;1918;0;0;411;2;1
1151.3;1.771.231;65;1957.5;0;0;412;2;1
1376.3;1.720.375;80;1929;0;0;914;2;1
888.2;1.614.909;55;1929;0;0;942;2;1
462.5;1.321.429;35;1975;0;1;713;1;1
742.3;8.435.227;88;1929;0;0;941;2;0
761.3;895.647;85;1958;0;0;425;2;1
673.5;1.603.572;42;1952;0;0;1236;1;1
2113.4;2.201.458;96;1918;1;0;1242;2;1
965.4;1.419.706;68;1972;0;0;422;1;1
2097.5;1.906.818;110;1939;1;0;1313;1;1
850.3;1.197.606;71;1918;0;0;231;2;1
1235.7;1.144.167;108;1918;0;0;231;2;1
1028.4;1.117.826;92;1972;0;0;1342;1;1
1145.4;2.009.474;57;1994.5;1;0;2131;1;1
804.5;1.411.403;57;1958;0;0;2113;1;1
1161.3;2.037.369;57;1972;0;0;926;2;1
1060.2;1.152.391;92;1963;0;0;2135;1;1
817.4;1.089.867;75;1957.5;0;0;415;2;1
628.7;1.030.656;61;1957.5;0;0;414;2;1
1427.3;1.603.708;89;1973;0;0;1244;2;1
893.6;1.051.294;85;1957.5;1;0;1312;1;1
1677.2;1.765.474;95;1991;0;0;1313;1;1
989.3;1.766.607;56;1983;0;1;1312;1;1
888.8;20. Feb;44;1968;0;0;2523;2;1
1089.1;1.378.608;79;1957.5;0;0;2514;1;1
1317.2;1.733.158;76;1924;0;0;926;2;1
1711.2;11. Apr;155;1918;1;0;925;3;1
856.9;8.834.021;97;1960;0;0;925;2;1
2411.8;2.192.546;110;1990;0;0;1375;1;1
623.9;7.998.718;78;1936;0;0;1375;2;1
1199.9;1.643.699;73;1993;0;0;1714;1;1
1512.1;193.859;78;1981;0;0;1711;1;1
1324.7;1.409.255;94;1939;1;0;1853;2;1
1347.9;1.872.083;72;1918;0;1;1852;2;1
681.4;1.238.909;55;1956;0;0;331;2;1
1274.1;1.431.573;89;1976;0;0;2113;1;1
